Sport,Event,Category,Class,Gold,Silver,Bronze
Archery,Individualdetails,Men's events,W1,Jason Tabansky United States,Han Guifei China,Zhang Tianxin China
Archery,Individual compounddetails,Men's events,Open,Matt Stutzman United States,Ai Xinliang China,He Zihao China
Archery,Individualdetails,Women's events,W1,Chen Minyi China,Šárka Musilová Czech Republic,Tereza Brandtlová Czech Republic
Archery,Individual compounddetails,Women's events,Open,Öznur Cüre Turkey,Fatemeh Hemmati Iran,Jodie Grinham Great Britain
Archery,Teamdetails,Mixed events,W1,ChinaChen MinyiZhang Tianxin,Czech RepublicŠárka MusilováDavid Drahonínský,ItalyDaila DamenoPaolo Tonon
Archery,Team compounddetails,Mixed events,Open,Great BritainJodie GrinhamNathan MacQueen,IranFatemeh HemmatiHadi Nori,IndiaRakesh KumarSheetal Devi
Athletics,100 metresdetails,Men's events,T11,Athanasios Ghavelas Greece,Timothee Adolphe France,Di Dongdong China
Athletics,200 metresdetails,Men's events,T35,Ihor Tsvietov Ukraine,Dmitrii Safronov Neutral Paralympic Athletes,Artem Kalashian Neutral Paralympic Athletes
Athletics,400 metresdetails,Men's events,T11,Enderson German Santos Gonzalez Venezuela,Timothée Adolphe France,Guillaume Junior Atangana Refugee Paralympic Team
Athletics,800 metresdetails,Men's events,T34,Austin Smeenk Canada,Chaiwat Rattana Thailand,Rheed McCracken Australia
Athletics,1500 metresdetails,Men's events,T11,Yeltsin Jacques Brazil,Yitayal Silesh Yigzaw Ethiopia,Júlio Cesar Agripino Brazil
Athletics,5000 metresdetails,Men's events,T11,Júlio Cesar Agripino Brazil,Kenya Karasawa Japan,Yeltsin Jacques Brazil
Athletics,Marathondetails,Men's events,T12,Wajdi Boukhili Tunisia,Alberto Suarez Laso Spain,El Amin Chentouf Morocco
Athletics,High jumpdetails,Men's events,T47,Roderick Townsend United States,Nishad Kumar India,Georgii Margiev Neutral Paralympic Athletes
Athletics,Long jumpdetails,Men's events,T11,Di Dongdong China,Chen Shichang China,Joan Munar Martínez Spain
Athletics,Shot putdetails,Men's events,F11,Amirhossein Alipour Darbeid Iran,Mahdi Olad Iran,Alvaro del Amo Cano Spain
Athletics,Discus throwdetails,Men's events,F11,Oney Tapia Italy,Hassan Bajoulvand Iran,Alvaro del Amo Cano Spain
Athletics,Javelin throwdetails,Men's events,F13,Daniel Pembroke Great Britain,Ali Pirouj Iran,Ulicer Aguilera Cruz Cuba
Athletics,Club throwdetails,Men's events,F32,Aleksei Churkin Neutral Paralympic Athletes,Athanasios Konstantinidis Greece,Ahmed Mehideb Algeria
Athletics,100 metresdetails,Women's events,T11,Jerusa Geber dos Santos Brazil,Liu Cuiqing China,Lorena Salvatini Spoladore Brazil
Athletics,200 metresdetails,Women's events,T11,Jerusa Geber dos Santos Brazil,Liu Cuiqing China,Lahja Ishitile Namibia
Athletics,400 metresdetails,Women's events,T11,Lahja Ishitile Namibia,Thalita Simplício Brazil,He Shanshan China
Athletics,800 metresdetails,Women's events,T34,Hannah Cockroft Great Britain,Kare Adenegan Great Britain,Eva Houston United States
